scenario_id,bus_id,name,vn_kv,vm_pu,va_degree
0,0,1,345.0,1.0,0.0
0,1,2,345.0,1.0000000000000004,64.16809251783535
0,2,3,345.0,0.9999999999999999,85.2642221647865
0,3,4,345.0,0.8981837399266591,5.607636408768748
0,4,5,345.0,0.8106766484826112,62.41106021874266
0,5,6,345.0,0.9387114685584164,74.47024873339463
0,6,7,345.0,0.8959619432051017,61.37606596661096
0,7,8,345.0,0.9075872476128247,56.25170711210457
0,8,9,345.0,0.7821675201698142,17.548668643099447
2,0,1,345.0,1.0,0.0
2,1,2,345.0,1.0000000000000002,34.19764906295195
2,2,3,345.0,1.0000000000000002,60.366780954944346
2,3,4,345.0,0.9072730344514769,6.46224904931966
2,4,5,345.0,0.8307110956810304,15.559575955224174
2,5,6,345.0,0.937536513443482,45.40700955830346
2,6,7,345.0,0.9268962816464893,34.0664779092694
2,7,8,345.0,0.9540717904591021,30.27348285579706
2,8,9,345.0,0.8764139024799598,10.907035137967563
4,0,1,345.0,1.0,0.0
4,1,2,345.0,1.0,25.985142853599235
4,2,3,345.0,1.0000000000000002,40.153773490529794
4,3,4,345.0,0.9492249677938673,3.9754729506821587
4,4,5,345.0,0.9053280367324273,9.142563983847971
4,5,6,345.0,0.9778361423268087,29.619354982628344
4,6,7,345.0,0.9661370670139299,22.55973740541561
4,7,8,345.0,0.9811019801080383,21.395193779085616
4,8,9,345.0,0.925624570087826,6.496727595630994
5,0,1,345.0,1.0,0.0
5,1,2,345.0,1.0,61.81971454298888
5,2,3,345.0,0.9999999999999998,65.67237763563209
5,3,4,345.0,0.8573535711636097,9.356219928576756
5,4,5,345.0,0.777002961049923,20.295722084007753
5,5,6,345.0,0.9286728796279218,53.95636191555323
5,6,7,345.0,0.9127648368548492,49.61752082590227
5,7,8,345.0,0.9237886067717814,50.82106700610532
5,8,9,345.0,0.7892238694716556,19.195017361039294
6,0,1,345.0,1.0,0.0
6,1,2,345.0,1.0,40.32895041003819
6,2,3,345.0,0.9999999999999999,49.35291907162359
6,3,4,345.0,0.91780184042627,6.48554773073136
6,4,5,345.0,0.8728774332000229,15.275761524195573
6,5,6,345.0,0.9685874307198283,38.89569321853145
6,6,7,345.0,0.9588511185748556,33.329521634473
6,7,8,345.0,0.9650926379968735,32.887022629608026
6,8,9,345.0,0.8731658138059204,10.617993082621705
7,0,1,345.0,1.0,0.0
7,1,2,345.0,1.0,69.43624386680683
7,2,3,345.0,1.0,81.5262411187779
7,3,4,345.0,0.8093546863383763,10.177680323533236
7,4,5,345.0,0.6892191595364797,24.23850814872421
7,5,6,345.0,0.8888551182582721,67.11950381980522
7,6,7,345.0,0.8758451845312037,59.68168495023113
7,7,8,345.0,0.8940563566588294,59.054878449313364
7,8,9,345.0,0.7242832136469074,21.9740898648702
8,0,1,345.0,1.0,0.0
8,1,2,345.0,0.9999999999999999,24.306661770198357
8,2,3,345.0,1.0000000000000002,72.66753989852498
8,3,4,345.0,0.8867245215554845,5.380332418054488
8,4,5,345.0,0.7515272414790931,19.152907923322662
8,5,6,345.0,0.911972097752842,61.553112490478874
8,6,7,345.0,0.9336890831856385,12.835656879984297
8,7,8,345.0,0.9623615764910322,16.843494646540368
8,8,9,345.0,0.8836386920162682,5.694078685127397
9,0,1,345.0,1.0,0.0
9,1,2,345.0,0.9999999999999999,48.38129300268557
9,2,3,345.0,0.9999999999999998,72.12116320846356
9,3,4,345.0,0.8658974235015038,8.487490924026902
9,4,5,345.0,0.7668852414912574,20.101694508578383
9,5,6,345.0,0.9124011502444266,56.406850740411
9,6,7,345.0,0.9031944026982346,45.46468501238376
9,7,8,345.0,0.9307452520778312,42.174945793046504
9,8,9,345.0,0.8184405720225921,15.969843815259614
10,0,1,345.0,1.0,0.0
10,1,2,345.0,1.0,47.73527768893525
10,2,3,345.0,0.9999999999999999,63.47626045637903
10,3,4,345.0,0.8846435552658001,8.091948920669559
10,4,5,345.0,0.806081536015611,18.16158462597899
10,5,6,345.0,0.9352929245585705,49.96644235109417
10,6,7,345.0,0.9246882398417261,41.9041859200554
10,7,8,345.0,0.9437617116667839,40.388155627082526
10,8,9,345.0,0.8389960247156693,15.233237521321138
11,0,1,345.0,1.0,0.0
11,1,2,345.0,1.0000000000000002,9.6637633040343
11,2,3,345.0,1.0,13.940098903216299
11,3,4,345.0,0.9863075455737215,-0.9144458855988142
11,4,5,345.0,0.9632673463271708,-1.0641299301179152
11,5,6,345.0,1.0029894100881038,8.521425965174686
11,6,7,345.0,0.9907775585275622,4.79279337192328
11,7,8,345.0,1.000481842140492,5.809204660968213
11,8,9,345.0,0.9705318438779036,-1.8513653925543914
12,0,1,345.0,1.0,0.0
12,1,2,345.0,1.0000000000000004,64.16809251783535
12,2,3,345.0,0.9999999999999999,85.2642221647865
12,3,4,345.0,0.8981837399266591,5.607636408768748
12,4,5,345.0,0.8106766484826112,62.41106021874266
12,5,6,345.0,0.9387114685584164,74.47024873339463
12,6,7,345.0,0.8959619432051017,61.37606596661096
12,7,8,345.0,0.9075872476128247,56.25170711210457
12,8,9,345.0,0.7821675201698142,17.548668643099447
13,0,1,345.0,1.0,0.0
13,1,2,345.0,,
13,2,3,345.0,1.0000000000000002,27.63619769701089
13,3,4,345.0,0.9691431345744,-0.13806453886948797
13,4,5,345.0,0.9335741290056958,2.279890078101074
13,5,6,345.0,0.9792924956475774,17.294549244010057
13,6,7,345.0,0.9504249708663167,7.615709439406204
13,7,8,345.0,0.9596269280553237,4.589600307304935
13,8,9,345.0,0.9455135924215288,-1.9775537981866333
14,0,1,345.0,1.0,0.0
14,1,2,345.0,0.9999999999999999,36.43036490908911
14,2,3,345.0,0.9999999999999999,45.02756603841406
14,3,4,345.0,0.9238477618663655,4.937740630891898
14,4,5,345.0,0.8737201306110196,11.263585215537166
14,5,6,345.0,0.9650371541799769,34.53143370148697
14,6,7,345.0,0.946338168248447,28.67697237949055
14,7,8,345.0,0.9623341544199586,28.966983908666958
14,8,9,345.0,0.8769917744917577,8.637184018144628
15,0,1,345.0,1.0,0.0
15,1,2,345.0,0.9999999999999999,33.46347419194699
15,2,3,345.0,1.0,41.99439832716934
15,3,4,345.0,0.9265583586275373,3.4077248364276933
15,4,5,345.0,0.8682740225877049,8.116189645868038
15,5,6,345.0,0.9630677960565729,31.47655853048159
